"ï»¿""R""",P,AgencyType,Source Url,Url,Column 6,Agency,Details
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?q=61+Nickel+Street,+Port+Colborne,+Ontario&hl=en&sll=43.065376,-79.238205&sspn=0.093306,0.15398&vpsrc=0&hnear=61+Nickel+St,+Port+Colborne,+Ontario+L3K+1B3&t=m&z=16",,Port Cares Reach Out Food Centre - Food Bank,"61 Nickel St;905-835-1914;Monday, Wednesday and Thursday: 12:30 - 3:30 p.m."
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=12+North+St.,+St.+Catharines,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=12+North+St,+St+Catharines,+Niagara+Regional+Municipality,+Ontario+L2R+7P6&z=16",,Community Care,12 North St.;905-685-1349;Monday - Thursday: 9 a.m. - 3 p.m.;Friday: 9 a.m. - noon
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=406+Niagara+St.,+St.+Catharines,+ON&sll=51.727028,-87.011719&sspn=43.251344,79.013672&ie=UTF8&hq=&hnear=406+Niagara+St,+St+Catharines,+Niagara+Regional+Municipality,+Ontario+L2M+4V9&z=16",,Salvation Army: Community and Family Services,406 Niagara St.;905-935-4311;Tuesday - Thursday 9:30 a.m. - noon
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://www.google.ca/maps/preview?ie=UTF-8&fb=1&gl=ca&sll=43.1634515,-79.2326063&sspn=0.0240407,0.0439463&q=124+Queenston+St,+St+Catharines,+ON+L2R+2Z3&ei=obgIVP76HaHCsATC2YLQBA&ved=0CBwQ8gEwAA",,Westview Centre4Women,"For women only.;Free clothing, coffee, snacks and hot lunches are offered. The Plentiful Pantry is available where women can access food and household items for a minimal cost.;124 Queenston St;905-687-4848;Tuesday, Wednesday and Thursday: 10 a.m. â€“ 4 p.m."
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://www.google.ca/maps/place/Brock+University/@43.117573,-79.247692,17z/data=!3m1!4b1!4m2!3m1!1s0x89d34e32f9f0e4a5:0xdb7b89e6cdaba7d2",,Student Justice Centre Foodbank,"Open to Brock Students only.;Brock University, Thistle 252 500 Glenridge Ave.;905-688-5550 X6325;School year hours: Monday - Thursday: 9 a.m. - 8 p.m., Friday: 9 a.m.-5 p.m.;Summer hours: Monday - Friday 9 a.m. - 5 p.m."
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=19+Albert+St.+W.,+Thorold,+ON&sll=43.163667,-79.243899&sspn=0.012302,0.01929&ie=UTF8&hq=&hnear=19+Albert+St+W,+Thorold,+Niagara+Regional+Municipality,+Ontario+L2V+2G2&z=16",,Community Care,19 Albert St. West;905-227-9240;Monday - Friday: 9 - 11 a.m. and 1 - 3 p.m.
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://www.google.ca/maps/place/570+King+St,+Welland,+ON+L3B+3L2/@42.978179,-79.2529914,17z/data=!3m1!4b1!4m2!3m1!1s0x89d349d6080894bf:0x4d8ec12a253e66a9",,The Hope Centre,570 King St.;905-788-0744;Monday - Friday: 9:30 - 11:45 a.m. and 12:30 â€“ 3 p.m. The Hope House offers emergency shelter. Call 905-788-0744 ext. 250 for more information.
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=22+Fifth+St.,+Welland,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=22+5+St,+Welland,+Niagara+Regional+Municipality,+Ontario+L3B+4Z4&z=16",,Open Arms Mission Welland Inc.,22 Fifth St.;905-788-3800;Food Bank: Tuesday - Friday: 9:30 - 11:45 a.m.;Hygiene Bank: Wednesday and Friday: 9:30 - 11:45 a.m.
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://maps.google.ca/maps?q=800+niagara+street,+welland&ie=UTF-8&hq=&hnear=0x89d34900c572e027:0xbbd6f80903a22ede,800+Niagara+St,+Welland,+ON+L3C+5Z4&gl=ca&ei=k4ggU_XWCqSY2AWJ74HYDw&ved=0CCgQ8gEwAA",,The Salvation Army,"Seaway Mall 800 Niagara St., Unit JJ;905-735-5700;Tuesday - Thursday: 9:30 a.m. - 1 p.m.;Friday: 9:30 a.m. - noon"
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=2660+Industrial+Park+Rd.,+Unit+5,+West+Lincoln,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=2660+Industrial+Park+Rd+%235,+West+Lincoln,+Niagara+Regional+Municipality,+Ont",,West Lincoln Community Care,"2660 Industrial Park Rd., Unit 5;905-957-5882;Tuesday: noon - 6 p.m.;Wednesday: 3 - 7 p.m.;Thursday: 9:30 a.m. - 5 p.m."
,,Food Coop,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://maps.google.com/maps?q=178+King+Street,+Welland,+ON,+Canada&hl=en&ll=42.985688,-79.244084&spn=0.027093,0.038581&sll=37.0625,-95.677068&sspn=59.119059,79.013672&oq=178+King+Street,+Welland,&t=m&hnear=178+King+St,+Welland,+Niagara+Regional+Municipal",,The Good Food Box (Gateway of Niagara),Boxes of fresh produce are delivered to host sites across Niagara each month for pick up. Call 905-414-7883 or 905-735-4445 for more information.;178 King St.
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=310+Central+Ave.,+Fort+Erie,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=310+Central+Ave,+Fort+Erie,+Niagara+Regional+Municipality,+Ontario+L2A+3T3&z=16",,St. Michael's Roman Catholic Church,310 Central Ave.;905-871-0692;Third Saturday of the month: 11:30 a.m. - 1 p.m.;No meals June - August
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=32+Idylewylde+Street,+Fort+Erie,+Ontario&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=32+Idylewylde+St,+Fort+Erie,+Niagara+Regional+Municipality,+Ontario&z=16",,St. Paul's Anglican Church,No meals July - August;32 Idylewylde St.;905 871-6704;Fourth Saturday of the month: 11:30 a.m. - 1 p.m.;No meals July - August
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?q=241+Elmwood+Avenue,+Fort+Erie,+Ontario&hl=en&sll=42.885102,-79.252686&sspn=0.011698,0.019248&vpsrc=0&hnear=241+Elmwood+Ave,+Fort+Erie,+Niagara+Regional+Municipality,+Ontario+L0S+1B0&t=m&z=16",,Crystal Ridge Community Church,241 Elmwood Ave.;905-894-6922;Thursday: noon - 1 p.m.;No meals July - August;Offers free clothing from 10 a.m. - noon
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://maps.google.com/maps?q=255+Gilmore+Rd.,+fort+erie&hl=en&sll=42.920268,-78.924642&sspn=0.00678,0.008701&hnear=255+Gilmore+Rd,+Fort+Erie,+Niagara+Regional+Municipality,+Ontario+L2A+4C2,+Canada&t=m&z=17",,Salvation Army (held by Victory International Church),255 Gilmore Rd.;905-871-1592;Second Saturday of the month: 11:30 a.m. - 1 p.m.;No meals June - August
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?hl=en&q=Fort+Erie+Salvation+army+gillmore&bav=on.2,or.r_gc.r_pw.r_qf.&bvm=bv.43287494,d.aWc&biw=1280&bih=843&wrapid=tlif136258386947410&safe=active&um=1&ie=UTF-8&sa=N&tab=wl",,Niagara Mobile Outreach,"Street Outreach Truck provides food, assistance items, counselling and referrals for those in need.;The Salvation Army - Street Outreach Truck;905-935-4311 ext. 26;Fort Erie/Crystal Beach - Monday;- Stop 1, Fort Erie: The Salvation Army 255 Gilmore Rd. 5 - 5:40 p.m.;- Stop 2, Crystal Beach: Crystal Beach Public School 6 - 6:30 p.m.;- Stop 3, Crystal Beach: Erie Rd & Derby Rd (public parking lot) 6:35 - 7 p.m.;- Stop 4, Ridgeway: Farmer's Market Parking Lot 7 - 7:25 p.m.;- Stop 5, Fort Erie: Jarvis St (between Central Ave & Klauck St) 7:45 - 8:30 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?hl=en&sugexp=les%3B&gs_rn=5&gs_ri=psy-ab&pq=salvation+army+in+grimsby,+ontario+&cp=13&gs_id=4g&xhr=t&q=slessor+apartments+grimsby&safe=active&bav=on.2,or.r_gc.r_pw.r_qf.&bvm=bv.43287494,d.aWc&biw=1280&bih=843&wrapid=tljp13625843",,Niagara Mobile Outreach,"Street Outreach Truck provides food, assistance items, counselling and referrals for those in need.;Slessor Apartments - Street Outreach Truck;905-935-4311 ext. 26;Wednesday: Slessor Apartments 4 â€“ 5 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,http://maps.google.ca/maps?hl=en&tab=ll,,Niagara Mobile Outreach,"Street Outreach Truck provides food, assistance items, counselling and referrals for those in need.;North Lane (across from Community Care);905-935-4311 ext. 26;- Wednesday (Beamsville): North Lane (across from Community Care) 5:15 - 6:15 p.m.;- Saturday (Beamsville): North Lane (across from Community Care) 4 - 5 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=4865+St.+Lawrence+Ave,+Niagara+Falls,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=4865+St+Lawrence+Ave,+Niagara+Falls,+Niagara+Regional+Municipality,+Ontario+L2E+1H8&z=16",,Niagara Falls Community Outreach,"4865 St. Lawrence Ave.;905-354-1640;Monday - Friday: noon - 1 p.m. (served year round) Monday - Sunday: 5 - 6 p.m., doors open at 4:30 p.m. (served November to March)"
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?hl=EN&q=5720%20Dorchester%20Rd,%20Niagara%20Falls,%20ON%20Canada",,Niagara Mobile Outreach,"Street Outreach Truck provides food, assistance items, counselling and referrals for those in need.;The Salvation Army - Street Outreach Truck;905-935-4311 ext. 26;Niagara Falls â€“ Friday;- Stop 1: Avenue Inn, Lundys Lane 4 â€“ 5 p.m.;- Stop 2: Continental Inn, Ferry St 5:05 â€“ 6 p.m.;- Stop 3: Cash & Carry, Main St 6:05 â€“ 7 p.m.;- Stop 4: Shoppers Drug Mart, Victoria Ave 7:05 â€“ 8 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://www.google.ca/maps/place/Boys+and+Girls+Club+of+Niagara/@43.0693516,-79.1472323,17z/data=!3m1!4b1!4m2!3m1!1s0x89d3437c4933a5c3:0x6d55a155597fb597",,Boys & Girls Club of Niagara,"Offer supper club and snack club for children 6 to 12 years through Kid Zone, their after school drop-in program.;A $1 donation is appreciated.;8800 McLeod Rd. (main office);Contact your local Boys & Girls Club for more information;- Niagara Falls: 905-357-2444;- St. Catharines: 905-937-1072;- Fort Erie: 905-871-2592"
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?q=72+Charlotte+Street,+Port+Colborne,+Ontario&hl=en&sll=42.993527,-79.245087&sspn=0.011677,0.019248&vpsrc=0&hnear=72+Charlotte+St,+Port+Colborne,+Ontario+L3K+3E1&t=m&z=16",,"Guild Hall, St. James and St. Brendan Anglican Church",72 Charlotte Street;Tuesday supper meal: 5:30 - 7:30 p.m.;(first Tueaday in October to last Tuesday in April)
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=61+Nickel+St.,+Port+Colborne,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=61+Nickel+St,+Port+Colborne,+Niagara+Regional+Municipality,+Ontario+L3K+1B3&z=16",,Port Cares Reach Out Food Centre,61 Nickel St.;905-835-1914;Monday and Wednesday lunch: noon;Thursday supper: 4 p.m.
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?hl=EN&q=50%20Clarence%20St%20W,%20Port%20Colborne,%20ON%20Canada",,Niagara Mobile Outreach,"Street Outreach Truck provides food, assistance items, counselling and referrals for those in need.;The Salvation Army - Street Outreach Truck;905-935-4311 ext. 26;Tuesday;- Stop 1 (Port Colborne): Corner of Fraser & Welland Sts. 5 -5:40 p.m.;- Stop 2 (Port Colborne): Corner of Mitchell & Nickel Sts. 5:45 - 6:15 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=184+Church+St.,+St.+catharines,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=184+Church+St,+St+Catharines,+Niagara+Regional+Municipality,+Ontario&z=16",,Salvation Army Booth Centre,"184 Church St.;905-684-7813;Monday - Friday for breakfast, lunch and dinner.;Meals are served to residents of the emergency shelter."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=235+Church+St.,+St.+Catharines,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=235+Church+St,+St+Catharines,+Niagara+Regional+Municipality,+Ontario+L2R+3E7&z=16",,Ozanam Centre,235 Church St.;905-687-8089;Held at Knights of Columbus Hall;Monday - Friday: 11 a.m. - 12:30 p.m.;$1 per meal
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=17+Centre+Street,+Saint+Catharines,+Ontario&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=17+Centre+St,+St+Catharines,+Niagara+Regional+Municipality,+Ontario+L2R+4R5&z=16",,The RAFT (Resource Association for Teens),17 Centre St.;905-984-4365;Dinner meal provided daily at 6 p.m.;Serves youth aged 16 - 24.;Hostel open 24/7.
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=83+Church+St.,+St.+Catharines,+Ontario&sll=43.212096,-79.191832&sspn=0.012292,0.01929&ie=UTF8&hq=&hnear=83+Church+St,+St+Catharines,+Niagara+Regional+Municipality,+Ontario+L2R+3C7&z=16",,St. George's Anglican Church,83 Church St.;905-682-9232;Breakfast provided daily: 7:30 - 8:30 a.m.
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=17+Gale+Crescent,+St.+Catharines,+Ontario&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=17+Gale+Crescent,+St+Catharines,+Niagara+Regional+Municipality,+Ontario+L2R+3K8&z=16",,Start Me Up Niagara/Resource Centre,"17 Gale Cres.;905-984-5310;Lunch provided Saturday, Sunday and Stat holidays: 11:15 a.m. - 1 p.m.;Monday - Friday: light refreshments served"
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?hl=EN&q=406%20Niagara%20St,%20St%20Catharines,%20ON%20Canada",,Niagara Mobile Outreach,"Street Outreach Truck provides food, assistance items, counselling and referrals for those in need.;Salvation Army - Street Outreach Truck;905-935-4311 ext. 26;Thursday;- Stop 1: Montebello Park 6:30 - 7:30 p.m.;- Stop 2: Central Community Church, Calvin & Church Sts. 9 -10 p.m.;Saturday;- Stop 1: Church St near the Legion 5:30 - 6:30 p.m.;- Stop 2: Central Community Church, Calvin & Church Sts. 6:35 - 7:30 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://maps.google.ca/maps?safe=active&q=st.+catharines,+on&ie=UTF-8&hq=&hnear=0x89d35054bb6a5a4b:0x37563636c082837,St+Catharines,+ON&gl=ca&ei=C9kDUpnyHoGJqQHJm4CQAQ&ved=0CJUBELYD",,Out of the Cold Program,"Different locations in St. Catharines;Monday - Sunday, from November 1st to March 31st.;Hot meal served at 6 p.m.;See Out of the Cold information for schedule."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,https://maps.google.ca/,,Westview Centre4Women,"For women only.;Free clothing, coffee/snacks and hot lunches are offered. The Plentiful Pantry is available where women can access food and household items for a minimal cost.;124 Queenston St.;905-687-4848;Tuesday, Wednesday and Thursday: 10 a.m. â€“ 4 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://www.google.ca/maps/place/201+Glenridge+Ave,+St.+Catharines,+ON+L2T+3J6/@43.1425855,-79.2420631,17z/data=!4m2!3m1!1s0x89d350317d14a69f:0x65e02c24530e215f",,Southridge Community Church,201 Glenridge Ave;905-682-9901;Meals are served to residents of the emergency shelter.;Former emergency shelter residents can access daily mails for $2 per meal.
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?hl=en&safe=active&q=Albert+Street,+thorold&bav=on.2,or.r_gc.r_pw.r_qf.&biw=1280&bih=843&wrapid=tlif136258476279910&um=1&ie=UTF-8&sa=N&tab=wl",,Niagara Mobile Outreach,"Street Outreach Truck provides food, assistance items counselling and referrals for those in need.;Albert St (near Community Care);905-935-4311 ext. 26;Thursday: Albert St (near Community Care) 7:45 - 8:45 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://www.google.ca/maps?q=570+King+St+Welland+Ontario&ion=1&espv=2&bav=on.2,or.&bvm=bv.112064104,d.amc&biw=1078&bih=764&dpr=1.25&safe=active&um=1&ie=UTF-8&sa=X&ved=0ahUKEwjqs7-I1LbKAhWFmoMKHcPhDJAQ_AUIBigB",,The Hope Centre,570 King St.;905-788-0744;Monday - Friday: lunch served at noon
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=22+Fifth+St.,+Welland,+Ontario&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=22+5+St,+Welland,+Niagara+Regional+Municipality,+Ontario+L3B+4Z4&z=16",,Open Arms Mission,22 Fifth St.;905-788-3800;Saturday: lunch served at noon
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=12+Young+St.,+Welland,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=12+Young+St,+Welland,+Niagara+Regional+Municipality,+Ontario+L3B+4C5&z=16",,Welland Harvest Kitchen - Central United Church,"Community dinners: November 1, 2015 â€“ March 30, 2016, depending on location.;12 Young St.;Sunday: 5 p.m.;Tuesday: 5:30 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=72+Empire+Street,+Welland,+Ontario&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=72+Empire+St,+Welland,+Niagara+Regional+Municipality,+Ontario+L3B+2L4&z=16",,Welland Harvest Kitchen - Ã‰glise du Sacre-Coeur,"Community dinners: November 1, 2015 â€“ March 30, 2016, depending on location.;72 Rue Empire;Monday: 5:30 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://www.google.ca/maps/place/380+S+Pelham+Rd,+Welland,+ON+L3B+5N8/@42.9932064,-79.2866129,17z/data=!3m1!4b1!4m2!3m1!1s0x89d349f12cfdd9ed:0x798e77d710556477",,Welland Harvest Kitchen - Faith Welland Church,"Community dinners: November 1, 2015 â€“ March 30, 2016, depending on location.;380 South Pelham Rd.;- 1st and 3rd Thursday of the month: 5:30 p.m.;- 2nd Thursday of the month: 6 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=307+Niagara+Street,+Welland,+Ontario&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=307+Niagara+St,+Welland,+Niagara+Regional+Municipality,+Ontario+L3C+1K5&z=16",,Welland Harvest Kitchen - St. Kevin's Roman Catholic Church,"Community dinners: November 1, 2015 â€“ March 30, 2016, depending on location.;307 Niagara St. North;Wednesday: 5 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,http://maps.google.ca/maps?hl=en&tab=wl,,Niagara Mobile Outreach,"Street Outreach Truck provides food, assistance items, counselling and referrals for those in need.;The Salvation Army - Street Outreach Truck;905-935-4311 ext. 26;Tuesday;- Stop 1 (Welland): Central United Church, 12 Young St 6:45 - 7:20 p.m.;- Stop 2 (Welland): Corner of King & Ontario Sts. (near Blue Star) 7:30 - 8:15 p.m."
,,Free Meal Programs,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://www.google.ca/maps/place/300+Chaffey+St,+Welland,+ON+L3B+2Z1/@42.970051,-79.2465712,17z/data=!3m1!4b1!4m2!3m1!1s0x89d337d325fdb879:0x66c725c5e877790b",,Welland Harvest Kitchen - Sts. Peter and Paul Roman Catholic Church,"Community dinners: November 1, 2015 to March 30, 2016, depending on location.;300 Chaffet St.;4th Thursday of the month: 5:30 p.m."
,,Meals on Wheels,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?q=32+Idylewylde+Street,+Fort+Erie,+Ontario&hl=en&sll=43.173804,-79.210084&sspn=0.011643,0.019248&vpsrc=0&hnear=32+Idylewylde+St,+Fort+Erie,+Ontario+L2A+2L8&t=m&z=16",,Meals on Wheels Fort Erie,"Serves residents of Fort Erie, Ridgeway, Crystal Beach, Stevensville and Black Creek.;32 Idylewylde St.;905-871-9366"
